,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
10,X1:0.01358,X2:0.087148,X3:0.51814,X4:6.9456,X5:73.526,X6:-0.036782,X7:0.013112,X8:9.0748,X9:1.0121,X10:0.79085,X11:0.013112,X12:0.15046,X13:0.046701,X14:0.013112,X15:808.05,X16:0.4517,X17:11.475,X18:0.013112,X19:0.015556,X20:110.98,X21:0.99521,X22:0.012101,X23:0.016111,X24:-0.053178,X25:0.79085,X26:0.45707,X27:0.1453,X28:1.3127,X29:4.3199,X30:-0.048582,X31:0.015556,X32:38.195,X33:9.5563,X34:0.13885,X35:0.012101,X36:0.86557,,X38:0.79085,X39:0.014356,X40:2.5844,X41:0.074704,X42:0.014356,X43:164.58,X44:53.599,X45:0.052987,X46:4.0047,X47:112.32,X48:-0.014152,X49:-0.016789,X50:6.9456,X51:0.087148,X52:0.10464,X53:2.0036,X54:2.0036,X55:10824,X56:0.01199,X57:0.017171,X58:0.98801,,X60:3.289,X61:6.8098,X62:37.737,X63:9.6723,X64:2.1355
11,X1:0.010191,X2:0.26598,X3:0.29292,X4:2.1013,X5:16.146,X6:0.1462,X7:0.00839,X8:2.743,X9:1.0085,X10:0.7296,X11:0.00839,X12:0.031543,X13:0.025935,X14:0.00839,X15:2549.8,X16:0.14315,X17:3.7597,X18:0.00839,X19:0.005715,X20:56.585,X21:1.0763,X22:0.009004,X23:0.006942,X24:0.18081,X25:0.7296,X26:0.14992,X27:0.061854,X28:0.66408,X29:4.1758,X30:0.12724,X31:0.005715,X32:66.69,X33:5.4731,X34:0.033853,X35:0.009004,X36:1.4714,,X38:0.7296,X39:0.006133,X40:0.30288,X41:0.22602,X42:0.006133,X43:118.93,X44:62.343,X45:0.044776,X46:1.2456,X47:57.064,X48:-0.020681,X49:-0.014087,X50:2.1013,X51:0.26598,X52:0.18271,X53:1.6541,X54:1.6541,X55:4390.4,X56:0.008402,X57:0.013967,X58:0.9916,,X60:6.4505,X61:5.8547,X62:66.13,X63:5.5195,X64:3.3282
12,X1:0.065198,X2:0.28516,X3:0.33533,X4:2.2331,X5:79.761,,X7:0.065555,X8:2.5068,X9:0.96573,X10:0.71484,X11:0.067226,X12:0.24105,X13:0.088097,X14:0.065555,X15:1223.4,X16:0.29835,X17:3.5068,X18:0.065555,X19:0.067882,X20:42.659,X21:1.1367,X22:0.055685,X23:0.067511,X24:0.2509,X25:0.71178,X26:0.2971,X27:33.327,X28:0.85389,X29:4.6757,X30:0.11794,X31:0.069612,X32:107.91,X33:3.3824,X34:3.2258,X35:0.045866,X36:0.96573,X37:49.807,X38:0.72476,X39:0.047493,X40:0.7143,X41:0.12639,X42:0.05766,X43:156.11,X44:113.45,X45:0.57765,X46:1.818,X47:44.786,X48:0.036161,X49:0.037445,X50:2.1296,X51:0.27195,X52:0.29564,X53:1.8203,X54:1.8455,X55:15891,X56:0.047493,X57:0.091207,X58:0.93362,X59:0.013887,X60:8.5563,X61:3.2174,X62:102.79,X63:3.5511,X64:2.4591
13,X1:0.060102,X2:0.50223,X3:-0.047224,X4:0.84027,X5:-54.239,,X7:0.075374,X8:0.99113,X9:1.1814,X10:0.49777,X11:0.08816,X12:0.25495,X13:0.14109,X14:0.075374,X15:1099.7,X16:0.3319,X17:1.9911,X18:0.075374,X19:0.063799,X20:26.381,X21:0.9509,X22:0.088129,X23:0.050873,X24:0.24945,X25:0.22373,X26:0.30149,X27:6.8929,X28:-0.062832,X29:4.8073,X30:0.39244,X31:0.072332,X32:97.347,X33:3.7495,X34:2.2072,X35:0.072914,X36:1.1814,X37:1.5492,X38:0.60301,X39:0.061717,X40:0.20036,X41:0.093294,X42:0.074595,X43:58.449,X44:32.067,X45:0.70385,X46:0.55144,X47:28.117,X48:-0.003184,X49:-0.002695,X50:0.49464,X51:0.29564,X52:0.2667,X53:0.6623,X54:0.80232,X55:-3030.4,X56:0.061717,X57:0.12074,X58:0.93727,X59:0.21141,X60:13.836,X61:11.382,X62:91.339,X63:3.9961,X64:1.5719
14,X1:0.082604,X2:0.65322,X3:0.044479,X4:1.0726,X5:-121.81,X6:0.15446,X7:0.10332,X8:0.53087,X9:1.1374,X10:0.34678,X11:0.10332,X12:0.16871,X13:0.10894,X14:0.10332,X15:1736.9,X16:0.21015,X17:1.5309,X18:0.10332,X19:0.081992,X20:109.23,X21:1.115,X22:0.13961,X23:0.065552,X24:0.20734,X25:0.34678,X26:0.17844,X27:1.2601,X28:0.12963,X29:4.238,X30:0.5082,X31:0.081992,X32:201.77,X33:1.809,X34:0.21372,X35:0.13961,X36:1.2648,X37:6.8553,X38:0.38759,X39:0.11079,X40:0.071143,X41:0.12374,X42:0.11079,X43:177.65,X44:68.422,X45:0.21905,X46:0.45687,X47:124.24,X48:0.10565,X49:0.083843,X50:1.0056,X51:0.61241,X52:0.55279,X53:1.0107,X54:1.1296,X55:769.45,X56:0.12083,X57:0.2382,X58:0.87917,X59:0.11769,X60:3.3416,X61:5.3345,X62:177.39,X63:2.0576,X64:3.6726
15,X1:0.098993,X2:0.32834,X3:0.16203,X4:1.5173,X5:28.92,,X7:0.098993,X8:2.0457,X9:1.4904,X10:0.67166,X11:0.10346,X12:0.31602,X13:0.086361,X14:0.098993,X15:931.06,X16:0.39203,X17:3.0457,X18:0.098993,X19:0.066419,X20:11.304,X21:1.1086,X22:0.097718,X23:0.066419,X24:0.22315,X25:0.098993,X26:0.39203,X27:21.871,X28:0.3088,X29:4.1452,X30:0.14815,X31:0.069416,X32:81.171,X33:4.4967,X34:4.29,X35:0.08188,X36:1.4904,,X38:0.67166,X39:0.054936,X40:0.35959,X41:0.085879,X42:0.065563,X43:88.808,X44:77.504,X45:2.1446,X46:1.3699,X47:11.961,X48:0.067996,X49:0.045621,X50:1.4475,X51:0.31325,X52:0.22239,X53:1.28,X54:1.28,X55:2263.5,X56:0.054936,X57:0.14739,X58:0.93469,,X60:32.29,X61:4.7094,X62:76.712,X63:4.758,X64:2.8405
16,X1:0.00349,X2:0.31899,X3:0.36243,X4:6.0895,X5:147.31,,X7:0.00349,X8:2.1349,X9:0.64577,X10:0.68101,X11:0.003623,X12:0.049009,X13:0.14009,X14:0.00349,X15:1287.1,X16:0.28359,X17:3.1349,X18:0.00349,X19:0.005404,X20:101.47,X21:0.99058,,X23:0.005404,X24:0.087404,X25:0.56716,X26:0.28359,,X28:0.63993,X29:4.3202,X30:0.38408,X31:0.013965,X32:59.105,X33:6.1755,X34:1.3786,X35:0.029192,X36:0.64577,X37:1.155,X38:0.90102,X39:0.045204,X40:1.5377,X41:0.12226,,X43:183.21,X44:81.736,X45:0.01944,X46:3.5684,X47:149.01,X48:-0.086974,X49:-0.13468,X50:1.3594,X51:0.071212,X52:0.16193,X53:1.2024,X54:1.5909,X55:7576.4,X56:0.31901,X57:0.005125,X58:0.71018,X59:0.32307,X60:3.5971,X61:4.4656,X62:40.25,X63:9.0684,X64:1.1402
17,X1:0.1478,X2:0.51775,X3:-0.005723,X4:0.97817,X5:-40.917,X6:0.36902,X7:0.1478,X8:0.89131,X9:1.2305,X10:0.46148,X11:0.1478,X12:0.5637,X13:0.2644,X14:0.1478,X15:737.17,X16:0.49514,X17:1.9314,X18:0.1478,X19:0.15243,X20:26.571,X21:1.0513,X22:0.16802,X23:0.15243,X24:0.36902,X25:0.46148,X26:0.49514,X27:2.1323,X28:-0.007697,X29:4.5704,X30:0.52556,X31:0.15243,X32:121.45,X33:3.0054,X34:0.32453,X35:0.16802,X36:0.98172,X37:0.72737,X38:0.71704,X39:0.17329,X40:0.034634,X41:0.061544,X42:0.17329,X43:93.128,X44:66.557,X45:2.094,X46:0.70897,X47:32.694,X48:0.059464,X49:0.061328,X50:0.49535,X51:0.26219,X52:0.33273,X53:0.62066,X54:0.96437,X55:-212.85,X56:0.18729,X57:0.32027,X58:0.81271,X59:0.55378,X60:13.737,X61:5.484,X62:98.7,X63:3.6981,X64:1.3041
18,X1:0.12219,X2:0.32205,X3:0.029324,X4:1.0919,X5:-28.5,X6:0.20482,X7:0.15191,X8:2.0204,X9:1.2089,X10:0.65067,X11:0.15191,X12:0.47606,X13:0.24483,X14:0.15191,X15:523.17,X16:0.69767,X17:3.1051,X18:0.15191,X19:0.16553,X20:31.489,X21:1.0425,X22:0.16293,X23:0.13314,X24:0.2599,X25:0.65067,X26:0.60539,X27:2.1463,X28:0.045004,X29:5.4492,X30:0.25711,X31:0.16553,X32:153.43,X33:2.379,X34:0.50592,X35:0.16293,X36:0.93202,X37:90.978,X38:0.65363,X39:0.17754,X40:0.28389,X41:0.04492,X42:0.17754,X43:102.55,X44:71.058,X45:1.5433,X46:0.84378,X47:38.067,X48:0.090153,X49:0.098238,X50:1.0819,X51:0.31909,X52:0.42035,X53:0.9986,X54:1.0031,X55:8250,X56:0.17281,X57:0.18778,X58:0.82719,X59:0.004548,X60:11.591,X61:5.1366,X62:126.91,X63:2.876,X64:1.4084
19,X1:0.013413,X2:0.64054,X3:0.073524,X4:1.1918,X5:-20.957,X6:0.059524,X7:0.017187,X8:0.38942,X9:0.9953,X10:0.24944,X11:0.017187,X12:0.044835,X13:0.067246,X14:0.017187,X15:2582.2,X16:0.14135,X17:1.5612,X18:0.017187,X19:0.012765,X20:40.122,X21:1.1615,X22:0.017958,X23:0.009962,X24:0.073876,X25:0.24944,X26:0.13546,X27:0.13274,X28:0.13537,X29:4.5418,X30:0.4169,X31:0.012765,X32:103.43,X33:3.5289,X34:0.028035,X35:0.017958,X36:1.3817,X37:1.2009,X38:0.50664,X39:0.013337,X40:0.20665,X41:0.23063,X42:0.013337,X43:102.38,X44:62.253,X45:0.090621,X46:0.8057,X47:39.934,X48:-0.055397,X49:-0.041144,X50:0.71325,X51:0.38334,X52:0.28337,X53:0.45926,X54:0.93281,X55:2560.1,X56:-0.004724,X57:0.053771,X58:1.0047,X59:1.0311,X60:9.0972,X61:5.8632,X62:103.92,X63:3.5123,X64:2.479
20,X1:-0.47658,X2:0.9755,X3:0.2342,X4:1.3083,X5:15.209,X6:-0.27157,X7:-0.47339,X8:0.025129,X9:4.4049,X10:0.024514,X11:-0.47339,X12:-0.62323,X13:-0.10747,X14:-0.47339,X15:-752.15,X16:-0.48528,X17:1.0251,X18:-0.47339,X19:-0.10747,X20:2.1365,,X22:-0.41456,X23:-0.10819,X24:-0.76019,X25:-0.46051,X26:-0.48855,X27:-7.0279,X28:37.628,X29:4.2884,X30:0.20604,X31:-0.1021,X32:61.083,X33:6.4945,X34:5.057,X35:-0.30518,X36:4.5186,X37:4.6127,X38:0.23437,X39:-0.069281,X40:0.089386,X41:-0.078437,X42:-0.094112,X43:76.72,X44:74.583,X45:-18.484,X46:0.12333,X47:1.9078,X48:-0.41456,X49:-0.094112,X50:1.0187,X51:0.75957,X52:0.15398,X53:3.9386,X54:37.655,X55:4550,X56:-0.030393,X57:-19.441,X58:1.0538,X59:8.5606,X60:170.84,X61:4.8939,X62:62.94,X63:5.7992,X64:707.73
21,X1:0.059653,X2:0.57398,X3:0.19502,X4:1.3867,X5:-39.979,X6:0.29136,X7:0.059653,X8:0.72211,X9:1.0768,X10:0.41447,X11:0.059653,X12:0.11829,X13:0.028487,X14:0.059653,X15:2886.5,X16:0.12645,X17:1.7422,X18:0.059653,X19:0.023414,X20:65.34,X21:1.3411,X22:0.17476,X23:0.023414,X24:0.29136,X25:0.41447,X26:0.12645,X27:0.73861,X28:0.64859,X29:4.2212,X30:0.22408,X31:0.023414,X32:77.797,X33:4.6917,X34:0.30447,X35:0.17476,X36:2.5511,X37:3.4912,X38:0.48415,X39:0.068593,X40:0.006587,X41:0.10054,X42:0.068593,X43:99.711,X44:34.371,X45:0.13079,X46:0.48232,X47:70.358,X48:0.16183,X49:0.06352,X50:1.2184,X51:0.50431,X52:0.21314,X53:1.3785,X54:1.6102,X55:3245.3,X56:0.071317,X57:0.14392,X58:0.92868,X59:0.1681,X60:5.5861,X61:10.619,X62:72.249,X63:5.052,X64:8.4734
22,X1:-0.015449,X2:0.86394,X3:0.077422,X4:1.0897,X5:-84.622,,X7:-0.013244,X8:0.15749,X9:2.1083,X10:0.13606,X11:0.061231,X12:-0.015347,X13:0.008176,X14:-0.013244,X15:18294,X16:0.019952,X17:1.1575,X18:-0.013244,X19:-0.006282,X20:92.992,X21:0.88654,X22:0.060917,X23:-0.007328,X24:0.14584,X25:0.12283,X26:0.0174,X27:0.81796,X28:1.2994,X29:3.5774,X30:0.40308,X31:-0.002407,X32:153.87,X33:2.3721,X34:2.3695,X35:0.061202,X36:2.1083,X37:428.93,X38:0.137,X39:0.029029,X40:0.03294,X41:0.31508,X42:0.028893,X43:157.89,X44:64.894,X45:-0.028761,X46:0.46729,X47:95.772,X48:0.030436,X49:0.014436,X50:1.0885,X51:0.863,X52:0.42156,X53:2.2836,X54:2.2994,X55:292.58,X56:0.029029,X57:-0.11354,X58:1.0062,X59:0.00691,X60:3.9251,X61:5.6245,X62:149.4,X63:2.443,X64:35.385
23,X1:0.13599,X2:0.28416,X3:0.65055,X4:4.3716,X5:55.603,,X7:0.17377,X8:2.5191,X9:3.1288,X10:0.71584,X11:0.18326,X12:0.90061,X13:0.069194,X14:0.17377,X15:479.09,X16:0.76187,X17:3.5191,X18:0.17377,X19:0.05554,X20:22.565,X21:1.0731,X22:0.17843,X23:0.043464,X24:0.51415,X25:0.62166,X26:0.6289,X27:18.818,X28:4.1568,X29:3.7543,X30:0.023282,X31:0.055546,X32:23.835,X33:15.313,X34:10.398,X35:0.17407,X36:3.1288,,X38:0.71584,X39:0.055633,X40:1.1333,X41:0.042831,X42:0.057028,X43:72.892,X44:50.327,X45:0.70306,X46:3.3691,X47:23.894,X48:0.13571,X49:0.043374,X50:2.9684,X51:0.19295,X52:0.065302,X53:4.574,X54:4.574,X55:3695,X56:0.055633,X57:0.18998,X58:0.94477,,X60:16.176,X61:7.2526,X62:22.509,X63:16.216,X64:19.992
24,X1:0.3424,X2:0.32906,X3:0.32859,X4:2.156,X5:15.986,X6:0.46463,X7:0.3424,X8:1.9931,X9:0.97718,X10:0.65586,X11:0.3424,X12:1.2046,X13:0.4247,X14:0.3424,X15:312.75,X16:1.1671,X17:3.039,X18:0.3424,X19:0.37866,X20:89.608,X21:0.81465,X22:0.063298,X23:0.37866,X24:0.48976,X25:0.65586,X26:1.1671,X27:0.68404,X28:0.84874,X29:5.1282,X30:0.3398,X31:0.37866,X32:112.12,X33:3.2554,X34:0.19236,X35:0.063298,X36:1.3136,X37:8.7234,X38:0.70066,X39:0.070001,X40:0.31365,X41:0.1031,X42:0.070001,X43:211.39,X44:121.78,X45:1.5424,X46:1.375,X47:87.563,X48:0.021664,X49:0.023958,X50:1.8624,X51:0.28425,X52:0.30718,X53:1.694,X54:1.8098,X55:44141,X56:-0.023353,X57:0.52206,X58:1.0234,X59:0.068315,X60:4.0733,X61:2.9972,X62:114.74,X63:3.1811,X64:2.3356
25,X1:0.097748,X2:0.26898,X3:0.2495,X4:2.1536,X5:32.172,X6:0.41369,X7:0.12359,X8:2.2395,X9:1.0794,X10:0.60237,X11:0.12359,X12:0.57143,X13:0.10802,X14:0.12359,X15:534.63,X16:0.68272,X17:3.7178,X18:0.12359,X19:0.072696,X20:23.431,X21:1.0968,X22:0.13585,X23:0.057496,X24:0.51333,X25:0.60237,X26:0.58665,X27:0.86252,X28:0.46704,X29:4.5901,X30:0.12995,X31:0.072696,X32:50.122,X33:7.2822,X34:0.50505,X35:0.13585,X36:1.7207,X37:6.7678,X38:0.65506,X39:0.079906,X40:0.24522,X41:0.045142,X42:0.079906,X43:88.615,X44:65.184,X45:0.89565,X46:1.649,X47:25.292,X48:0.0758,X49:0.044586,X50:1.7317,X51:0.21628,X52:0.13732,X53:1.1276,X54:1.2262,X55:9710,X56:0.073579,X57:0.16227,X58:0.92642,X59:0.087484,X60:15.578,X61:5.5996,X62:46.434,X63:7.8606,X64:3.1824
26,X1:0.13252,X2:0.20332,X3:-0.034483,X4:0.80293,X5:-24.874,X6:0.36358,X7:0.16266,X8:3.9173,X9:1.185,X10:0.79648,X11:0.16266,X12:0.92957,X13:0.23238,X14:0.16266,X15:348.14,X16:1.0484,X17:4.9183,X18:0.16266,X19:0.17731,X20:4.3795,X21:1.0742,X22:0.16853,X23:0.14446,X24:0.4486,X25:0.79648,X26:0.9002,X27:2.1771,X28:-0.040119,X29:5.2403,X30:0.20387,X31:0.17731,X32:82.505,X33:4.424,X34:0.82887,X35:0.16853,X36:0.94637,X37:4.5686,X38:0.82483,X39:0.18371,X40:0.1189,X41:0.030517,X42:0.18371,X43:47.624,X44:43.244,X45:12.039,X46:0.74003,X47:5.19,X48:0.11801,X49:0.12865,X50:0.691,X51:0.17498,X52:0.22604,X53:0.92668,X54:0.95966,X55:-5996.8,X56:0.15615,X57:0.16638,X58:0.84385,X59:0.035586,X60:83.342,X61:8.4404,X62:69.622,X63:5.2426,X64:1.0673
